Epoch	TrainError	TrainCCR	TestCCR
1 0.331444 21.5556 20.3333
2 0.324261 18.7778 19
3 0.318935 21.6667 22
4 0.314124 22 22.3333
5 0.309532 22.5556 23
6 0.305076 23 23.3333
7 0.30076 23.7778 23.3333
8 0.296611 24.5556 24
9 0.292615 25.1111 24.3333
10 0.288748 25.4444 25
11 0.285031 25.3333 26
12 0.281469 25.6667 27
13 0.278032 26.6667 28.6667
14 0.274705 28.2222 29.6667
15 0.271492 28.8889 30.3333
16 0.268394 29.3333 31.3333
17 0.265423 30.4444 33.3333
18 0.262588 31.7778 35
19 0.259905 32.2222 36
20 0.257364 33.1111 36
21 0.254936 33.6667 36.6667
22 0.252592 34.3333 38
23 0.250326 35.1111 39.3333
24 0.248162 35.8889 40.3333
25 0.2461 36.3333 42.3333
26 0.244095 36.5556 42.3333
27 0.242103 37.5556 43.3333
28 0.240129 38.1111 44.3333
29 0.2382 38.4444 44.3333
30 0.236281 39.3333 46.3333
31 0.234317 40 48
32 0.232326 39.8889 47.3333
33 0.23044 41.8889 47.3333
34 0.228703 42.4444 50.3333
35 0.227153 42.4444 50.6667
36 0.225717 42.6667 50.6667
37 0.224336 42.3333 51
38 0.222966 42.3333 51.3333
39 0.221583 42.4444 51.6667
40 0.220196 42.7778 52
41 0.218836 43.3333 52.3333
42 0.217525 43.4444 52
43 0.216275 43.6667 52
44 0.215094 43.8889 52
45 0.213979 44 52.3333
46 0.212922 44 52.3333
47 0.211912 44 52.6667
48 0.210941 44.2222 52
49 0.210001 44.5556 52
50 0.209085 44.7778 52
51 0.20819 44.7778 52
52 0.207319 44.7778 52
53 0.206468 44.7778 52
54 0.205629 44.7778 52.3333
55 0.204793 44.7778 53
56 0.203963 44.8889 53
57 0.203155 44.7778 52.6667
58 0.202384 44.7778 52.6667
59 0.201654 45 52
60 0.200963 45.1111 52.3333
61 0.200304 45.1111 52
62 0.19967 45.1111 50
63 0.199053 45.2222 50.3333
64 0.198447 44.8889 50.3333
65 0.197844 45.2222 50.3333
66 0.197242 45.3333 50
67 0.19664 45.3333 50.3333
68 0.196044 45.2222 50
69 0.195458 45.1111 50
70 0.194871 45 49.6667
71 0.194272 45 49.6667
72 0.193654 45.3333 49.6667
73 0.193032 45.6667 49.6667
74 0.192424 45.6667 49.3333
75 0.191834 45.6667 49.3333
76 0.191263 45.4444 49.3333
77 0.190709 45.4444 49.6667
78 0.190164 45.5556 49.6667
79 0.189617 45.7778 49.6667
80 0.189063 46 49.6667
81 0.18851 46.2222 50.3333
82 0.18797 46.2222 50.3333
83 0.187449 46.3333 50
84 0.186948 46.5556 50.3333
85 0.186478 46.4444 50.6667
86 0.186037 46.3333 50.6667
87 0.185622 46.3333 50.6667
88 0.185225 47.4444 51.6667
89 0.184842 47.3333 51.6667
90 0.184467 47.4444 51.3333
91 0.184097 47.4444 51.3333
92 0.183728 47.6667 51.3333
93 0.183356 47.7778 51
94 0.182981 47.7778 51
95 0.182601 47.8889 51
96 0.182221 47.8889 51
97 0.181846 48 51
98 0.181477 48.1111 51
99 0.18111 48.2222 50.6667
100 0.180747 48.5556 51.3333
101 0.180393 48.4444 51.3333
102 0.18005 48.4444 51.3333
103 0.179711 48.5556 51.3333
104 0.179372 48.6667 51.3333
105 0.179031 48.6667 51.3333
106 0.178685 48.6667 51.3333
107 0.178334 48.4444 51
108 0.177975 48.4444 51
109 0.177611 48.4444 51
110 0.177245 48.5556 51.3333
111 0.176887 48.6667 51.6667
112 0.176544 48.7778 51.3333
113 0.176222 49.2222 51.3333
114 0.175917 49.3333 51.3333
115 0.175626 49.2222 51.3333
116 0.175344 49.2222 51.3333
117 0.17507 49.2222 51.3333
118 0.174802 49.2222 51.3333
119 0.174539 49 51.3333
120 0.174276 48.8889 51.3333
121 0.17401 48.7778 51
122 0.173733 48.7778 50.6667
123 0.173444 48.7778 50.6667
124 0.173143 48.8889 50.6667
125 0.172832 48.8889 50.6667
126 0.172506 48.8889 50.6667
127 0.172155 49.2222 51
128 0.171781 49.1111 50.6667
129 0.171403 49 50.6667
130 0.171037 49.1111 50.6667
131 0.170695 49.2222 51
132 0.17039 49.3333 51
133 0.170116 49.4444 51
134 0.169865 49.3333 51
135 0.169631 49.3333 51
136 0.169411 49.3333 51
137 0.169203 49.6667 51.3333
138 0.169004 49.6667 51.3333
139 0.168811 49.6667 51.3333
140 0.168623 49.6667 51.3333
141 0.168439 49.6667 51.6667
142 0.168255 49.6667 51.6667
143 0.168071 49.6667 51.6667
144 0.167884 49.8889 51.3333
145 0.167693 49.8889 51.3333
146 0.167501 50 51.3333
147 0.167311 50.3333 51.3333
148 0.167126 50.3333 51.3333
149 0.166947 50.3333 51.3333
150 0.166773 50.3333 51.3333
151 0.166603 50.5556 51.3333
152 0.166435 50.5556 51.3333
153 0.16627 50.5556 51.3333
154 0.166105 50.5556 51.6667
155 0.16594 50.5556 51.6667
156 0.165777 50.5556 51.6667
157 0.165618 50.5556 51.6667
158 0.165467 50.6667 51.6667
159 0.165326 50.7778 51.6667
160 0.165195 50.7778 51.6667
161 0.16507 50.6667 51.6667
162 0.164951 50.6667 51.6667
163 0.164836 50.6667 51.6667
164 0.164724 50.6667 51.6667
165 0.164614 50.6667 51.6667
166 0.164506 50.6667 51.6667
167 0.164398 50.6667 51.6667
168 0.164291 50.7778 51.6667
169 0.164183 50.7778 51.6667
170 0.164073 50.6667 52.3333
171 0.163961 50.5556 52.3333
172 0.163846 50.5556 52.3333
