Epoch	TrainError	TrainCCR	TestCCR
1 0.201848 100 100
2 0.196738 100 100
3 0.193726 100 100
4 0.191581 100 100
5 0.189975 100 100
6 0.188717 100 100
7 0.187707 100 100
8 0.186884 100 100
9 0.186192 100 100
10 0.185593 100 100
11 0.185061 100 100
12 0.184578 100 100
13 0.184135 100 100
14 0.183723 100 100
15 0.183338 100 100
16 0.182975 100 100
17 0.182632 100 100
18 0.182306 100 100
19 0.181996 100 100
20 0.1817 100 100
21 0.181417 100 100
22 0.181146 100 100
23 0.180887 100 100
24 0.180638 100 100
25 0.180399 100 100
26 0.18017 100 100
27 0.179949 100 100
28 0.179736 100 100
29 0.17953 100 100
30 0.179332 100 100
31 0.17914 100 100
32 0.178954 100 100
33 0.178774 100 100
34 0.178599 100 100
35 0.178429 100 100
36 0.178264 100 100
37 0.178104 100 100
38 0.177948 100 100
39 0.177796 100 100
40 0.177649 100 100
41 0.177505 100 100
42 0.177364 100 100
43 0.177228 100 100
44 0.177095 100 100
45 0.176965 100 100
46 0.176839 100 100
47 0.176716 100 100
48 0.176596 100 100
49 0.17648 100 100
50 0.176366 100 100
51 0.176255 100 100
52 0.176147 100 100
53 0.176041 100 100
54 0.175939 100 100
55 0.175838 100 100
56 0.175741 100 100
57 0.175645 100 100
58 0.175552 100 100
59 0.175461 100 100
60 0.175373 100 100
61 0.175286 100 100
62 0.175202 100 100
63 0.175119 100 100
64 0.175038 100 100
65 0.17496 100 100
66 0.174883 100 100
67 0.174807 100 100
68 0.174734 100 100
69 0.174662 100 100
70 0.174592 100 100
71 0.174524 100 100
72 0.174457 100 100
73 0.174391 100 100
74 0.174328 100 100
75 0.174265 100 100
76 0.174204 100 100
77 0.174145 100 100
78 0.174087 100 100
79 0.17403 100 100
80 0.173975 100 100
81 0.173921 100 100
82 0.173869 100 100
83 0.173818 100 100
84 0.173768 100 100
85 0.173719 100 100
86 0.173671 100 100
87 0.173625 100 100
88 0.17358 100 100
89 0.173536 100 100
90 0.173493 100 100
91 0.173451 100 100
92 0.17341 100 100
93 0.17337 100 100
94 0.173331 100 100
95 0.173294 100 100
96 0.173256 100 100
97 0.17322 100 100
98 0.173185 100 100
99 0.17315 100 100
100 0.173117 100 100
101 0.173083 100 100
102 0.173051 100 100
103 0.173019 100 100
104 0.172988 100 100
105 0.172957 100 100
106 0.172927 100 100
107 0.172897 100 100
108 0.172867 100 100
109 0.172838 100 100
110 0.172809 100 100
111 0.172781 100 100
112 0.172752 100 100
113 0.172724 100 100
114 0.172697 100 100
115 0.172669 100 100
116 0.172641 100 100
117 0.172614 100 100
118 0.172586 100 100
119 0.172559 100 100
120 0.172531 100 100
121 0.172504 100 100
122 0.172476 100 100
123 0.172449 100 100
124 0.172421 100 100
125 0.172394 100 100
126 0.172366 100 100
127 0.172339 100 100
128 0.172311 100 100
129 0.172283 100 100
130 0.172255 100 100
131 0.172227 100 100
132 0.172199 100 100
133 0.172171 100 100
134 0.172142 100 100
135 0.172114 100 100
136 0.172086 100 100
137 0.172057 100 100
138 0.172029 100 100
