Epoch	TrainError	TrainCCR	TestCCR
1 0.661363 13 11
2 0.657342 20 21.6667
3 0.756582 20.4444 18.6667
4 0.763716 23.2222 24.3333
5 0.665553 16.8889 16.6667
6 0.509242 27.8889 25.6667
7 0.492195 23.2222 22.3333
8 0.350336 24.5556 23.6667
9 0.265899 47.7778 45.6667
10 0.201942 46.8889 46.3333
11 0.18197 52.5556 51.3333
12 0.170571 54 53.6667
13 0.160195 59.5556 51.6667
14 0.154616 58.3333 57.3333
15 0.145764 62.8889 54.3333
16 0.14138 60.5556 62.3333
17 0.13471 65.1111 57.6667
18 0.13061 63.5556 64.6667
19 0.125622 67.5556 60.3333
20 0.121696 66.2222 66
21 0.117726 69.4444 62
22 0.11416 67.7778 67.6667
23 0.110825 70.6667 62.3333
24 0.10776 69.1111 67
25 0.104919 71.1111 64.3333
26 0.102336 71.1111 67.6667
27 0.0999086 71.3333 66
28 0.0976872 72.3333 67
29 0.0955836 72.1111 66.3333
30 0.0935986 72.8889 66.6667
31 0.0917306 72.6667 67
32 0.0899009 73.4444 66.6667
33 0.0882001 73.2222 67.3333
34 0.08649 74.4444 67.3333
35 0.0849118 74.1111 67.6667
36 0.0833116 74.5556 68
37 0.0818313 74.5556 68
38 0.0803395 75 68.6667
39 0.0789464 75.1111 69
40 0.0775601 75.4444 68.3333
41 0.0762504 75.7778 69
42 0.0749627 75.5556 68.3333
43 0.0737332 76.1111 69
44 0.0725338 76 68.3333
45 0.0713793 76.4444 70
46 0.0702563 76.6667 69.3333
47 0.069169 76.8889 70
48 0.0681112 76.8889 69.3333
49 0.0670828 77.1111 70
50 0.0660807 78.7778 69.3333
51 0.0651037 79.1111 70
52 0.06415 78.8889 69.6667
53 0.0632184 79.4444 70
54 0.0623074 79.4444 69.6667
55 0.0614162 79.5556 70
56 0.0605436 79.5556 69.6667
57 0.0596886 79.6667 70
58 0.0588503 79.8889 69.6667
59 0.0580277 80 70
60 0.0572199 80.2222 70
61 0.0564258 80.3333 70.3333
62 0.0556447 80.4444 70.3333
63 0.054876 80.5556 70.6667
64 0.0541197 80.6667 70.6667
65 0.0533762 80.6667 70.6667
66 0.0526465 80.6667 70.6667
67 0.0519317 80.7778 70.6667
68 0.0512324 81 71
69 0.050549 81.1111 71.6667
70 0.0498812 81.1111 71.6667
71 0.0492286 81.1111 71.6667
72 0.0485909 81.2222 71.6667
73 0.0479673 81.2222 71.6667
74 0.0473575 81.2222 71.6667
75 0.0467609 81.6667 71.6667
76 0.0461769 81.6667 71.6667
77 0.0456051 81.6667 71.6667
78 0.045045 81.8889 72.3333
79 0.0444963 82 72.3333
80 0.0439587 82.1111 72.3333
81 0.043432 82.1111 72.3333
82 0.0429162 82.1111 71.6667
83 0.0424111 82.1111 71.6667
84 0.0419165 82.1111 72
85 0.0414321 82.4444 72
86 0.0409575 82.4444 72
87 0.0404923 82.4444 72
88 0.0400362 82.4444 72
89 0.0395886 82.4444 72
90 0.0391492 82.4444 72
91 0.0387176 82.4444 72
92 0.0382936 82.4444 72
93 0.0378767 82.4444 72
