Epoch	TrainError	TrainCCR	TestCCR
1 2.90294 75 75
2 1.54107 25 25
3 2.38017 75 75
4 1.15726 25 25
5 2.0125 75 75
6 1.02903 25 25
7 1.75399 75 75
8 0.962949 25 25
9 1.52644 75 75
10 0.928438 25 25
11 1.33165 75 75
12 0.907416 25 25
13 1.17353 75 75
14 0.880874 25 25
15 1.04492 75 75
16 0.84291 25 25
17 0.935094 75 75
18 0.793803 25 25
19 0.834421 75 75
20 0.735447 25 25
21 0.733998 75 75
22 0.665788 25 25
23 0.625213 75 75
24 0.574946 25 25
25 0.495491 75 75
26 0.441373 25 25
27 0.316398 75 75
28 0.222074 100 100
29 0.0787801 100 100
30 0.0209139 100 100
31 0.01711 100 100
32 0.0163501 100 100
33 0.0158118 100 100
34 0.0153369 100 100
35 0.0149049 100 100
36 0.0145086 100 100
37 0.0141431 100 100
38 0.0138043 100 100
39 0.0134887 100 100
40 0.0131935 100 100
41 0.0129164 100 100
42 0.0126554 100 100
43 0.0124086 100 100
44 0.0121747 100 100
45 0.0119524 100 100
46 0.0117406 100 100
47 0.0115384 100 100
48 0.0113449 100 100
49 0.0111595 100 100
50 0.0109814 100 100
51 0.0108102 100 100
52 0.0106453 100 100
53 0.0104864 100 100
54 0.010333 100 100
55 0.0101847 100 100
56 0.0100414 100 100
57 0.00990253 100 100
58 0.009768 100 100
59 0.00963754 100 100
60 0.00951093 100 100
61 0.00938797 100 100
62 0.00926847 100 100
63 0.00915226 100 100
64 0.0090392 100 100
65 0.00892912 100 100
66 0.0088219 100 100
67 0.00871742 100 100
68 0.00861555 100 100
69 0.00851618 100 100
70 0.00841921 100 100
71 0.00832455 100 100
72 0.0082321 100 100
73 0.00814178 100 100
74 0.00805351 100 100
75 0.00796721 100 100
76 0.00788281 100 100
77 0.00780024 100 100
78 0.00771944 100 100
79 0.00764035 100 100
80 0.0075629 100 100
81 0.00748704 100 100
82 0.00741273 100 100
83 0.0073399 100 100
84 0.00726852 100 100
85 0.00719853 100 100
86 0.0071299 100 100
87 0.00706257 100 100
88 0.00699652 100 100
89 0.00693171 100 100
90 0.00686809 100 100
91 0.00680563 100 100
92 0.0067443 100 100
93 0.00668407 100 100
94 0.00662491 100 100
95 0.00656678 100 100
96 0.00650966 100 100
97 0.00645352 100 100
98 0.00639834 100 100
99 0.00634408 100 100
100 0.00629073 100 100
101 0.00623827 100 100
102 0.00618666 100 100
103 0.00613589 100 100
104 0.00608593 100 100
105 0.00603677 100 100
106 0.00598839 100 100
107 0.00594076 100 100
108 0.00589387 100 100
109 0.00584771 100 100
110 0.00580225 100 100
111 0.00575748 100 100
112 0.00571337 100 100
113 0.00566993 100 100
114 0.00562713 100 100
